ProductID,CategoryID,ProductName,Colour,Size,Description,Composition,Care,Price,Inventory
P6214,CA1010,TECHNICAL OUTERWEAR,Fuscia,2XL,fuscia elegant detailing technical outerwear for man,50% cotton 51% polyester,iron on low heat,14.24,2763149
P6215,CA1005,COMPACT OUTERWEAR,Pink,XL,pink stylish compact outerwear for woman,70% viscose 30% nylon,tumble dry low,25.58,1630780
P6216,CA1005,SLOGAN PRINT OUTERWEAR,Red,S,red classic slogan print outerwear for woman,70% viscose 30% nylon,do not wring or twist,31.12,4336115
P6217,CA1013,FADED SWEATERS,Fuscia,3XL,fuscia trendy faded sweaters for kids,60% wool 41% acrylic,lay flat to dry,78.42,1447881
P6218,CA1002,QUARTER-ZIP  HOODIES,Violet,2XL,violet chic quarter-zip hoodies for woman,80% linen 20% cotton,Dry clean recommended,48,8682380
P6219,CA1002,SLOGAN PRINT  HOODIES,Maroon,2XL,maroon classic slogan print hoodies for woman,70% viscose 30% nylon,Hand wash separately in warm water,44.53,3534420
P6220,CA1010,VINTAGE-EFFECT  OUTERWEAR,Yellow,XS,yellow classic vintage-effect outerwear for man,95% acrylic 6% spandex,iron on low heat,8.74,6292763
P6221,CA1012,FLORAL PRINT  HOODIES,Orange,XS,orange chic floral print  hoodies for kids,60% wool 41% acrylic,Dry flat,49.71,49287
P6222,CA1006,BOXY-FIT JACKETS,Red,XS,red luxurious boxy-fit jackets for man,95% acrylic 5% spandex,iron on low heat,23.01,1641381
P6223,CA1011,SLOGAN PRINT JACKETS,Orange,S,orange classic slogan print jackets for kids,50% cotton 50% polyester,Do not bleach,63.59,1112598
P6224,CA1005,TECHNICAL OUTERWEAR,Yellow,2XL,yellow elegant detailing technical outerwear for woman,95% acrylic 5% spandex,Hand wash in cold water,61.92,6429166
P6225,CA1014,FLORAL PRINT PANTS,Red,2XL,red chic floral print pants for kids,80% linen 20% cotton,iron on low heat,35.76,3223837
P6226,CA1015,TEXTURED OUTERWEAR,Violet,XL,violet luxurious textured outerwear for kids,60% wool 40% acrylic,Do not bleach,25.46,7603245
P6227,CA1001,TEXTURED JACKETS,Green,2XL,green luxurious textured jackets for woman,80% linen 20% cotton,Dry clean recommended,92.75,8858098
P6228,CA1005,CARTOON PRINT OUTERWEAR,Fuscia,XS,fuscia stylish cartoon print outerwear for woman,95% acrylic 5% spandex,Hand wash in cold water,48.64,8325429
P6229,CA1014,ABSTRACT PRINT PANTS,Violet,L,violet modern  abstract print pants for kids,95% acrylic 6% spandex,Hand wash separately in warm water,55.34,9185745
P6230,CA1011,PLAINED JACKETS,Pink,XS,pink elegant detailing plained jackets for kids,60% wool 41% acrylic,Hand wash separately in warm water,61.25,616687
P6231,CA1008,FLORAL PRINT SWEATERS,Orange,L,orange chic floral print sweaters for man,95% acrylic 5% spandex,do not wring or twist,53.39,5975905
P6232,CA1015,CARTOON PRINT OUTERWEAR,Orange,L,orange stylish cartoon print outerwear for kids,60% wool 41% acrylic,do not wring or twist,53.39,5975905
